:START_ID,level:int,:END_ID,:TYPE
REC-AUDITLOG-AUDIT-RECORD,10,FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-TIMESTAMP,CONTAINS
REC-AUDITLOG-AUDIT-RECORD,10,FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-SYSTEM-ID,CONTAINS
REC-AUDITLOG-AUDIT-RECORD,10,FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-USER-ID,CONTAINS
REC-AUDITLOG-AUDIT-RECORD,10,FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-PROGRAM,CONTAINS
REC-AUDITLOG-AUDIT-RECORD,10,FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-TERMINAL,CONTAINS
REC-AUDITLOG-AUDIT-RECORD,88,FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-TRANSACTION,CONTAINS
REC-AUDITLOG-AUDIT-RECORD,88,FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-USER-ACTION,CONTAINS
REC-AUDITLOG-AUDIT-RECORD,88,FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-SYSTEM-EVENT,CONTAINS
REC-AUDITLOG-AUDIT-RECORD,88,FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-CREATE,CONTAINS
REC-AUDITLOG-AUDIT-RECORD,88,FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-UPDATE,CONTAINS
REC-AUDITLOG-AUDIT-RECORD,88,FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-DELETE,CONTAINS
REC-AUDITLOG-AUDIT-RECORD,88,FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-INQUIRE,CONTAINS
REC-AUDITLOG-AUDIT-RECORD,88,FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-LOGIN,CONTAINS
REC-AUDITLOG-AUDIT-RECORD,88,FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-LOGOUT,CONTAINS
REC-AUDITLOG-AUDIT-RECORD,88,FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-STARTUP,CONTAINS
